Generation,Individual,Fitness
0,00001010100000001000100101101101011100111111010010111000001000100011111110001010000000000000010,0.7092436974789916
0,10100100111011000101101110011110001011110101110110100100010001101000111110110110001011110100101,0.7092436974789916
0,00101101001101010010100011010010111010011001011010111011001000001000111101000010010101011000000,0.7092436974789916
0,01010110111000011000000101010001100110100101110011000101000011000010111001000011001001111110010,0.7092436974789916
0,11110100110110011010001011001111100110100000111011011110000011110110001101000110010111001100001,0.7092436974789916
0,00011011101011010110010010101111100111000101100000111111101110111001010111100010000010111110101,0.7092436974789916
0,10110111000111101010110101011000110010011110001011111111100011010101000001100010000000010010010,0.7092436974789916
0,11100001101100100100010101111000001000101010000110110011011101101000010010110000101011110001000,0.7092436974789916
0,00100101100101111100110011111101010000111010111001011101011001001100010010010010100100000100011,0.7092436974789916
0,10001110110110101010110100000110100000011000110001011000000011111000101010100101101110101000111,0.7092436974789916
0,00010111011100110001001110101000011100000010001011011111101000111011110001101111100100100000000,0.7092436974789916
0,00001111000101100110001010010010100101111011100010010111011110111111101010101100001111011111100,0.7092436974789916
0,01001001011101111010101011010111001001101011010100011100000111010100001011101010111110001001111,0.7092436974789916
0,10000111100001101011110110001110000011110100101111110001101001111100110000101011111110111110101,0.7092436974789916
0,00011011001111000001111011111000011101100010010010001011011010101101111100110001111110100000010,0.7092436974789916
0,01100110110101101011100110000001110110100111000100101100001000010101000111001100100001000101000,0.7092436974789916
0,10000011111100100000001101101011010001010110011010110100010010010010001000001010111110111011101,0.7092436974789916
0,01000001010110101101100101111010011110001111000000001010110101011100101000100110111111111010111,0.7092436974789916
0,00011100001001100000000100000001101010101100011000011000010001011001100100110010101100100100101,0.7092436974789916
0,01111011100010000100010011011000000100111001110100000100110000100000011011101010101100110111001,0.7092436974789916
1,00000010000000001000100101111101011000111111010010101100001000100010110110010111001011110100101,0.7092436974789916
1,00100100011011000101101111011110001001110101010100100110010001001001111110001010000100000000010,0.7092436974789916
1,00101101001101010010100011010010111010011001011010111011001000001000111101000010010101011000000,0.7092436974789916
1,01010110111000011000000101010001100110100101110011000101000011000010111001000011001001111110010,0.7092436974789916
1,11110100110110011010001011001111100110100000111011011110000011110110001101000110010111001100001,0.7092436974789916
1,00011011101011010110010010101111100111000101100000111111101110111001010111100010000010111110101,0.7092436974789916
1,10110111000111101010110101011000110010011110001011111111100011010101000001100010000000010010010,0.7092436974789916
1,11100001101100100100010101111000001000101010000110110011011101101000010010110000101011110001000,0.7092436974789916
1,00100101100101111100110011111101010000111010111001011101011001001100010010010010100100000100011,0.7092436974789916
1,10001110110110101010110100000110100000011000110001011000000011111000101010100101101110101000111,0.7092436974789916
1,00010111011100110001001110101000011100000010001011011111101000111011110001101111100100100000000,0.7092436974789916
1,00001111000101100110001010010010100101111011100010010111011110111111101010101100001111011111100,0.7092436974789916
1,01001001011101111010101011010111001001101011010100011100000111010100001011101010111110001001111,0.7092436974789916
1,10000111100001101011110110001110000011110100101111110001101001111100110000101011111110111110101,0.7092436974789916
1,00011011001111000001111011111000011101100010010010001011011010101101111100110001111110100000010,0.7092436974789916
1,01100110110101101011100110000001110110100111000100101100001000010101000111001100100001000101000,0.7092436974789916
1,10000011111100100000001101101011010001010110011010110100010010010010001000001010111110111011101,0.7092436974789916
1,01000001010110101101100101111010011110001111000000001010110101011100101000100110111111111010111,0.7092436974789916
1,00011100001001100000000100000001101010101100011000011000010001011001100100110010101100100100101,0.7092436974789916
1,01111011100010000100010011011000000100111001110100000100110000100000011011101010101100110111001,0.7092436974789916
2,00100010100000000000100101111101011100111111001010101110000001000001111110101010011100000100011,0.7092436974789916
2,00100100111011010101101111010110001001111100010100100110010000110010110110011111100111110100101,0.7092436974789916
2,00101101001101010010100011010010111010011001011010111011001000001000111101000010010101011000000,0.7092436974789916
2,01010110111000011000000101010001100110100101110011000101000011000010111001000011001001111110010,0.7092436974789916
2,11110100110110011010001011001111100110100000111011011110000011110110001101000110010111001100001,0.7092436974789916
2,00011011101011010110010010101111100111000101100000111111101110111001010111100010000010111110101,0.7092436974789916
2,10110111000111101010110101011000110010011110001011111111100011010101000001100010000000010010010,0.7092436974789916
2,11100001101100100100010101111000001000101010000110110011011101101000010010110000101011110001000,0.7092436974789916
2,00100101100101111100110011111101010000111010111001011101011001001100010010010010100100000100011,0.7092436974789916
2,10001110110110101010110100000110100000011000110001011000000011111000101010100101101110101000111,0.7092436974789916
2,00010111011100110001001110101000011100000010001011011111101000111011110001101111100100100000000,0.7092436974789916
2,00001111000101100110001010010010100101111011100010010111011110111111101010101100001111011111100,0.7092436974789916
2,01001001011101111010101011010111001001101011010100011100000111010100001011101010111110001001111,0.7092436974789916
2,10000111100001101011110110001110000011110100101111110001101001111100110000101011111110111110101,0.7092436974789916
2,00011011001111000001111011111000011101100010010010001011011010101101111100110001111110100000010,0.7092436974789916
2,01100110110101101011100110000001110110100111000100101100001000010101000111001100100001000101000,0.7092436974789916
2,10000011111100100000001101101011010001010110011010110100010010010010001000001010111110111011101,0.7092436974789916
2,01000001010110101101100101111010011110001111000000001010110101011100101000100110111111111010111,0.7092436974789916
2,00011100001001100000000100000001101010101100011000011000010001011001100100110010101100100100101,0.7092436974789916
2,01111011100010000100010011011000000100111001110100000100110000100000011011101010101100110111001,0.7092436974789916
3,00100011100001000000101101111101011100111011001010101100000101000001111010101111100111110100001,0.7092436974789916
3,00010100111011010101101111010111001001111100010100100110010000110010111110011010011001000100010,0.7092436974789916
3,00101101001101010010100011010010111010011001011010111011001000001000111101000010010101011000000,0.7092436974789916
3,01010110111000011000000101010001100110100101110011000101000011000010111001000011001001111110010,0.7092436974789916
3,11110100110110011010001011001111100110100000111011011110000011110110001101000110010111001100001,0.7092436974789916
3,00011011101011010110010010101111100111000101100000111111101110111001010111100010000010111110101,0.7092436974789916
3,10110111000111101010110101011000110010011110001011111111100011010101000001100010000000010010010,0.7092436974789916
3,11100001101100100100010101111000001000101010000110110011011101101000010010110000101011110001000,0.7092436974789916
3,00100101100101111100110011111101010000111010111001011101011001001100010010010010100100000100011,0.7092436974789916
3,10001110110110101010110100000110100000011000110001011000000011111000101010100101101110101000111,0.7092436974789916
3,00010111011100110001001110101000011100000010001011011111101000111011110001101111100100100000000,0.7092436974789916
3,00001111000101100110001010010010100101111011100010010111011110111111101010101100001111011111100,0.7092436974789916
3,01001001011101111010101011010111001001101011010100011100000111010100001011101010111110001001111,0.7092436974789916
